name,type,startTime,endTime,target,description,,,,,,,,,,
디바이스 용인 랩 운영 사업,창업지원,2024.1,2024.12,"예비 - 초기 창업자, 재직자, 중소기업, 청년 등",역량 강화 교육 및 개발 환경 제공을 통해 지역 내 ICT 산업 생태계 조성 및 사업화 촉진,,,,,,,,,,
용인 강소기업 청년 인턴 지원,일자리창출,2024.1,2024.12,용인시 관내 18세 ~ 39세 이하 청년,강소기업에서의 일 경험을 통한 경력 형성 기회를 제공하고 청년 인력 지원을 통해 양질의 일자리 창출,,,,,,,,,,
용인 청년 일자리 창출 프로젝트 1,일자리창출,2024.1,2024.12,용인시 관내 18세 ~ 39세 청년,사회적 기업 및 협동조합 등에 청년 고용 장려 및 지원을 통해 지역경제와 청년이 함께 성장,,,,,,,,,,
청년 (공공) 인턴 사업,일자리창출,2024.3,2024.1,18세 ~ 39세 용인시 거주 미취업 청년 33명,공공기관 경력 형성 기회 및 취업 지원 프로그램 제공,,,,,,,,,,
대학 일자리 플러스 센터 운영 지원,일자리창출,2024.1,2024.12,"단국대학교, 강남대학교",대학에서 운영하는 청년 취업 프로그램 및 고용 사업 재정 지원,,,,,,,,,,
미취업 청년 자격 시험 응시료 지원,복지지원,2024.4,2024.12,용인시에 주민등록을 둔 미취업 청년,국가기술자격 및 어학 시험 등 응시료 지원,,,,,,,,,,
돌봄 아동 - 대학생 매칭 학습 지원,복지지원,상반기 2024.2 / 하반기 2024.8,상반기 2024.7 / 하반기 2024.12,18세 ~ 39세 관내 대학(원)생 및 3년 이내 대학 졸업생,대학생 - 돌봄 아동 매칭을 통한 학습 지도 및 재능 발굴,,,,,,,,,,
용인시 일자리센터를 통한 청년 취업 지원,일자리창출,2024.1,2024.12,청년 중 미취업자,"구인구직 상담, 취업 알선, 취업 교육 운영 등 종합적 취업 지원 서비스 제공",,,,,,,,,,
청년 희망 케어 프로젝트 추진,복지지원,2024.1,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년",취업 및 사회적응 개선을 위한 심리적 안정감 증진 프로그램 제공,,,,,,,,,,
용인 청년 희망 옷장 (면접 정장 대여),복지지원,2024.1,2024.12 (예산 소진 시까지),용인시 거주 18 ~ 39세 구직 청년,구직 활동에 필요한 면접 정장 무료 대여 서비스 제공,,,,,,,,,,
용인 청년 면접 사진 촬영 운영,복지지원,2024.2,2024.11,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년","메이크업 지원, 증명사진 및 프로필 사진 촬영 지원",,,,,,,,,,
청년 고민 타파 전담 솔루션 (취업),취업지원,2024.2,2024.11,"용인시 거주 또는 소재 학교, 사업장 속 18-39세 청년","진로 및 직업 선택, 직장 생활 안내 등 1:1 맞춤 상담 프로그램 지원",,,,,,,,,,
대학생 행정 체험 연수,일자리창출,상반기 2024.1 / 하반기 2024.7,상반기 2024.1 / 하반기 2024.8,용인시에 주민등록이 되어 있는 대학생 160명,행정 및 복지 업무 지원 등 다양한 행정 체험 기회 제공,,,,,,,,,,
청년 농업인 신기술 영농 정착 시범,복지지원,2024.1,2024.12,청년 농업인 18세 ~ 39세 이하,신기술 및 아이디어 도입으로 작목별 영농 기반 조성 및 지원,,,,,,,,,,
용인 청년 창업지원센터 운영,창업지원,2024.1,2024.12,창업자 및 예비 창업자,창업 성공을 위한 각종 지원 서비스 제공,,,,,,,,,,
청년 희망펀드 조성,복지지원,2024.1,2024.12,청년층 경제적 자립 희망자,청년의 경제적 자립을 위한 자금 지원 및 관련 프로그램 제공,,,,,,,,,,
청년 건강검진 지원,복지지원,2024.1,2024.12,18세 ~ 39세 청년,청년들의 건강한 생활을 위한 정기 건강검진 지원,,,,,,,,,,
청년 주거지원 사업,복지지원,2024.1,2024.12,청년 무주택자,청년 주거 안정화를 위한 주거비 지원 및 주거 상담 서비스 제공,,,,,,,,,,
청년 예술가 지원 사업,문화지원,2024.1,2024.12,청년 예술가,청년 예술가들의 창작활동 지원 및 예술활동 기반 조성,,,,,,,,,,
용인 청년 커뮤니티 활성화 지원,복지지원,2024.1,2024.12,용인시 거주 청년,청년들의 사회적 관계 형성을 위한 커뮤니티 활동 지원,,,,,,,,,,
청년 창업 지원금 제공,창업지원,2024.1,2024.12,창업자 또는 예비 창업자,청년 창업자의 창업 초기 자금 지원,,,,,,,,,,
청년 전 - 월세 보증금 대출 이자 지원,주거지원,2024.1,2024.12,18~39세 무주택 청년,전세 보증금 대출 잔액의 1% 범위 내 이자 지원 (최대 100만 원),,,,,,,,,,
전세 보증금 반환 보증료 지원,주거지원,2024.1,2024.12,용인시 내 주거용 주택에 임차 거주 중인 무주택자,임차인 기납부한 보증료 지원 (최대 30만 원),,,,,,,,,,
용인 청년 부동산 중개 보수 감면 사업,주거지원,2024.1,2024.12,18세 ~ 29세 청년 임차인,부동산 중개 보수 20% 이상 감면,,,,,,,,,,
용인 청년 창업 지원 주택 운영 지원,주거지원,2019.8,현재,용인시 소재 1인 창조 기업인 및 예비 창업자,공공주택 내 커뮤니티 공간 운영 지원,,,,,,,,,,
청년 월세 한시 특별 지원,주거지원,2024.2.26,2025.2.25 (지급은 2026.12까지),19세 ~ 34세 무주택 청년,월 20만 원씩 최대 12개월 월세 지원,,,,,,,,,,
청년 주거 급여 분리지급,주거지원,2024.1,2024.12,주거 급여 수급 대상자,만 19세 ~ 30세 미만의 미혼 자녀가 부모와 거주지를 달리하는 경우 주거 급여 지급,,,,,,,,,,
신혼부부 전세자금 대출 이자 지원,주거지원,2024.1,2024.12,관내 주민 등록을 둔 무주택 신혼부부,전세자금 대출 잔액의 1% 범위 내 이자 지원 (최대 100만 원),,,,,,,,,,
청년 주거 보호를 위한 건축물 대장 상담 서비스,주거지원,2024.1,2024.12,관내 8개 대학교 인근 다가구 주택 거주 예정자,임대차 계약 전 건축물 대장 열람 방법 안내 및 상담 서비스 지원,,,,,,,,,,
YOUNG TECH 프 로 젝 트 운 영,교육지원,2024.1,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18~39세 청년","청년들의 자립 지원을 위한 경제 교육, 기술 교육, 주거 생활 지원 프로그램 운영",,,,,,,,,,
청소년 목공 지도사 양성과정,교육지원,2024.3,2024.8,용인시 거주 학교 밖 청소년 및 후기 청소년,목공 전문 교육 및 재능 기부 활동을 통한 사회적 배려 청소년 지원,,,,,,,,,,
대학생 수출 인턴 지원 사업,일자리창출,2024.1,2024.12,관내 대학 재학생,인력 부족을 겪는 중소기업에 수출 전문 교육을 받은 대학생 인턴 파견,,,,,,,,,,
용인 청년 창업 레벨업 아카데미,창업지원,2024.1,2024.12,초기 창업자 또는 창업 준비 중인 18~39세 용인 청년,창업 맛보기 및 심화 과정 운영으로 창업 준비 청년들의 역량 강화,,,,,,,,,,
청년 소프트웨어 구입 비용 지원,복지지원,2024.1,2024.12 (예산 소진 시까지),용인시에 주민등록을 둔 18~39세 청년,오피스 소프트웨어 구입 비용 지원 (1인 1회 5만원 한도),,,,,,,,,,
청년 부캐 도전 프로젝트 <런 투 유>,능력개발,2024.4,2024.1,관내 거주 및 활동 청년 12명,"역량 강화 교육, 코칭, 실습 기회를 제공하여 청년들이 다양한 분야에서 능력을 펼칠 수 있도록 지원",,,,,,,,,,
반도체 전문 인력 육성 지원,교육지원,2024.1,2024.12,"용인시 관내 학생 및 청년 미취업자, 관련 분야 재직자",반도체 전문 인력 양성과 연계 취업 지원,,,,,,,,,,
취업 역량 강화 아카데미,교육지원,2024.1,2024.11,18세 ~ 39세 용인시 거주 미취업 청년 35명,"취업 지원 프로그램을 온라인 교육으로 운영, 자격증 시험 대비 교육 포함",,,,,,,,,,
대학생 장학금 지원 (통합),교육지원,2024.2,2024.6,관내 대학생 979명,"총 763,600천원의 장학금을 지원하여 지역 인재 육성",,,,,,,,,,
대학생 학자금 대출 이자 지원 사업,복지지원,2024.8,2024.12,한국장학재단 학자금 대출을 받은 관내 대학생,당해 연도 대출 이자 지원,,,,,,,,,,
청년 학자금 대출 신용 회복 지원 사업,복지지원,2024.2,2024.12,용인시 18~39세 청년 중 학자금 대출로 신용 회복에 어려움을 겪는 자,"1인당 최대 100만원 지원, 한국장학재단과 채무액 분할 상환 약정 체결 시 초기입금 10% 지원",,,,,,,,,,
경기도 청년 기본소득,복지지원,2024.1,2024.12,경기도 내 3년 이상 거주 24세 용인 청년,"분기별 25만원 지역화폐 지급 (최대 4분기, 100만원)",,,,,,,,,,
용인 청년 68 활성화,복지지원,2024.1,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18~39세 청년",청년들의 자발적 참여와 소통을 통한 다양한 활동과 성장을 도모,,,,,,,,,,
용인 청년 68 공유 물품 대여,복지지원,2024.1,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18~39세 청년","생활용품 및 취미, 레저 용품 등 무료 대여 (최대 10일간)",,,,,,,,,,
청년 고민 타파 전담 솔루션 (심리상담),복지지원,2024.2,2024.12,"용인시 거주 또는 소재 학교, 사업장 속 18~39세 청년","심리 검사 및 심층 상담, 고위험군 타 기관 연계 등",,,,,,,,,,
청년 마음 건강 지원 사업,복지지원,2024.1,2024.12,용인시 청년 19~34세,심리 정서 지원을 통한 삶의 질 향상 및 심리적 문제 예방,,,,,,,,,,
청년 내일 저축계좌 (차상위 이하),복지지원,2024.1,2024.12,근로 능력 있는 기초생활수급자 및 차상위 계층 이하 청년,매월 본인 적립금 10만원 입금 시 정부 지원금 30만원 매칭,,,,,,,,,,
청년 내일 저축계좌 (차상위 초과),복지지원,2024.1,2024.12,차상위 초과 청년,매월 본인 적립금 10만원 입금 시 정부 지원금 10만원 매칭,,,,,,,,,,
경기도 장애인 누림 통장,복지지원,2024.1,2024.12,청년 중증(심한) 장애인,2년 간 월 10만원 내 1:1 매칭 지원,,,,,,,,,,
청년 자활 도전 사업단 반려동물 펫푸드 '더 건강하개',복지지원,2024.1,2024.12,18~39세 수급자 및 차상위,반려동물 수제 펫푸드 생산 및 판매,,,,,,,,,,
자립 준비 청년 (퇴소 아동) 자립 정착금,복지지원,2024.1,2024.12,18세 이후 보호 종료된 아동 복지 시설 및 가정 위탁 보호 종료 아동,"15,000천원/인, 2차에 걸쳐 지급",,,,,,,,,,
자립 준비 청년 자립 수당,복지지원,2024.1,2024.12,"아동 복지 시설, 가정 위탁 보호 종료 5년 이내 아동","500천원/인/월, 최대 60개월",,,,,,,,,,
자립 준비 청년 맞춤형 자립 지원,복지지원,2024.1,2024.12,자립 준비 청년 및 예비 자립 준비 청년,"교육, 실습비, 심리 검사, 상담비 등 지원",,,,,,,,,,
청소년 교통비 지원 사업,복지지원,2024.1,계속,도내 거주 만 13세~23세 중 대중교통 이용자,반기별 6만원 한도 내 실사용액 지역화폐 환급,,,,,,,,,,
신갈 오거리 공유 플랫폼 도시 재생 사업,도시재생,2021.4,2026.12,"연령 무관, 소득 무관",공유 공간 거점 시설 확보를 통한 지역 공동체 회복 및 청년 공간 조성,,,,,,,,,,
김량장 스마트워크 플랫폼 도시 재생 사업,도시재생,2023.1,2026.12,용인시민,"청년 창업자 업무 공간 제공, 창업 교육 실시",,,,,,,,,,
청년 정신 건강 증진 사업,복지지원,2024.1,2024.12,19~34세 청년,"청년 정신 건강 위험 조기 발견, 상담 및 치료 연계",,,,,,,,,,
Attention-MZ Live,문화지원,2024.1,2024.12,"용인시민, 청년",MZ세대의 문화적 재미를 충족시키는 다양한 공연 프로그램 운영,,,,,,,,,,
청년 커뮤니티 포털 구축,기타지원,2024.1,2024.12,용인 청년 누구나,"맞춤형 정보 제공, 양방향 소통 등을 제공하는 청년 커뮤니티 포털 구축",,,,,,,,,,
청년 정책 조정위원회 운영,정책참여,2024.1,2024.12,용인 청년,청년 정책 참여 제고 및 민-관 거버넌스 강화,,,,,,,,,,
청년 정책 네트워크 운영,정책참여,2024.1,2024.12,"용인시 거주, 재학, 재직 중인 청년",정책 제안 경진대회 및 네트워킹 데이 등을 통해 정책 발굴 및 역량 강화,,,,,,,,,,
시위원회 청년 참여 활성화,정책참여,2024.1,2024.12,시정에 참여할 의지가 있는 용인시 청년,정책 결정 과정에 청년의 의사 반영 및 다양한 행사 참여 시스템 마련,,,,,,,,,,
용인 청년 축제 기획단 구성 및 운영,문화지원,2024.4,2024.1,용인 청년,청년 축제 기획부터 운영까지 청년이 참여하는 프로그램 구성,,,,,,,,,,
용인 청년 축제 개최,문화지원,2024.4,2024.1,용인 청년 누구나,청년의 날을 알리고 청년 화합과 소통의 장 마련,,,,,,,,,,
청년 커뮤니티 지원 사업,복지지원,2024.1,2024.12,용인 거주 및 활동 중인 3인 이상의 청년 모임,청년 커뮤니티 활성화 및 자율적 활동 지원,,,,,,,,,,
청년 담당관 카카오 채널 운영,기타지원,2024.1,2024.12,용인 청년,카카오톡을 활용한 청년 정책 홍보 및 이벤트 추진,,,,,,,,,,
용인시 청년 정책 홍보책자 제작,기타지원,2024.3,2024.5,용인 청년,청년 정책 정보들을 통합 정리한 홍보책자 제작 및 배포,,,,,,,,,,
청년 공동체 활동 지원 사업,복지지원,2024.1,2025.1,경기도 내 19세 이상~39세 이하 청년 공동체,"청년 공동체 발굴 및 지원, 지역 활동 기반 마련",,,,,,,,,,
용인 특례시 2030 청년 봉사단,복지지원,2024.1,2024.12,용인시 거주 대학교 소속 청년,청년 자원봉사 활성화를 위한 네트워크 지원 및 다양한 봉사활동 경험 제공,,,,,,,,,,
드림키움 교육센터 운영,창업지원,2024.1,2024.12,용인시 소재 창업 7년 미만 중소기업 또는 예비 창업자,"창업 관련 교육 및 마케팅, 세무 등 지원",,,,,,,,,,
소상공인 창업 및 경영 컨설팅 지원,경영지원,2024.1,2024.12,용인시에 사업장을 2개월 이상 둔 사업자,경영 방식 및 제품 개발 등 1:1 맞춤형 컨설팅 제공,,,,,,,,,,
소상공인 온라인 플랫폼 비용 지원,경영지원,2024.1,2024.12,용인시에 사업장을 2개월 이상 둔 사업자,온라인 홍보 비용 100만원 지원,,,,,,,,,,
소상공인 프리미엄 대출 서비스 지원,금융지원,2024.1,2024.12,용인시에 사업장을 2개월 이상 둔 사업자,"특례 보증, 이차보전 지원으로 재정적 부담 완화",,,,,,,,,,
소상공인 재도약 환경개선 지원,경영지원,2024.1,2024.12,전년도 매출액 3억원 이하인 용인시 소상공인,경영환경 개선을 위한 최대 200만원 지원,,,,,,,,,,
소상공인 디자인 컨설팅 지원,경영지원,2024.1,2024.12,용인시에 사업장을 2개월 이상 둔 사업자,시각/환경/디지털 디자인 1:1 맞춤형 지원,,,,,,,,,,
창업 보육센터 운영 지원,창업지원,2024.1,2024.12,관내 창업 보육센터 6개소,창업 보육센터 운영비 및 입주기업 사업화 비용 지원,,,,,,,,,,
맞춤형 창업 지원,창업지원,2024.1,2024.12,용인시 소재 7년 미만 창업기업 및 예비 창업자,"예비 창업자 성장 지원, 창업기업 멘토링 및 네트워킹 프로그램 운영",,,,,,,,,,
1인 창조기업 지원센터 운영,창업지원,2024.1,2024.12,"용인시민, 청년 등",1인 창조기업 대상 창업 공간 및 종합 지원 프로그램 운영,,,,,,,,,,
창업지원센터 통합 운영,창업지원,2024.1,2024.12,창업 7년 미만 중소기업,"반도체, 첨단산업 분야 특화된 창업지원센터 통합 운영",,,,,,,,,,
드림상상창작센터 운영,창업지원,2024.1,2024.12,용인시민,아이디어 구현 및 시제품 제작을 위한 장비 지원,,,,,,,,,,
